id,clave,Fraccionamiento,saldo_deudor,saldo_favor,deuda_neta,estatus_pago,created_at
184,AL-II-19-8,ALAMO 2,0,0,0,Al Corriente,08/08/2025
185,AL-II-19-11,ALAMO 2,0,0,0,Al Corriente,08/08/2025
186,AL-II-19-12,ALAMO 2,0,0,0,Al Corriente,08/08/2025
187,AL-II-20-2,ALAMO 2,0,0,0,Al Corriente,08/08/2025
188,AL-II-21-2,ALAMO 2,0,0,0,Al Corriente,08/08/2025
189,AL-II-21-3,ALAMO 2,0,0,0,Al Corriente,08/08/2025
190,AL-II-21-6,ALAMO 2,0,0,0,Al Corriente,08/08/2025
191,AL-II-22-2,ALAMO 2,0,0,0,Al Corriente,08/08/2025
192,AL-II-23-2,ALAMO 2,0,0,0,Al Corriente,08/08/2025
193,AL-II-23-4,ALAMO 2,0,0,0,Al Corriente,08/08/2025
194,AL-II-23-14,ALAMO 2,0,0,0,Al Corriente,08/08/2025
195,AL-II-23-16,ALAMO 2,0,0,0,Al Corriente,08/08/2025
196,AL-II-23-17,ALAMO 2,0,0,0,Al Corriente,08/08/2025
197,AL-II-23-21,ALAMO 2,0,0,0,Al Corriente,08/08/2025
198,BDL-U-1,ZONA BDL,0,0,0,Al Corriente,08/08/2025
199,BDL-U-3,ZONA BDL,0,0,0,Al Corriente,08/08/2025
200,BDL-U-7,ZONA BDL,0,0,0,Al Corriente,08/08/2025
201,BDL-U-9,ZONA BDL,0,0,0,Al Corriente,08/08/2025
202,BDL-U-12,ZONA BDL,0,0,0,Al Corriente,08/08/2025
203,BDL-U-18,ZONA BDL,0,0,0,Al Corriente,08/08/2025
204,BDL-U-25,ZONA BDL,0,0,0,Al Corriente,08/08/2025
205,BDL-U-32,ZONA BDL,0,0,0,Al Corriente,08/08/2025
206,BDL-U-34,ZONA BDL,0,0,0,Al Corriente,08/08/2025
207,BDL-U-35,ZONA BDL,0,0,0,Al Corriente,08/08/2025
208,BDL-U-38,ZONA BDL,0,0,0,Al Corriente,08/08/2025
209,BDL-U-39,ZONA BDL,0,0,0,Al Corriente,08/08/2025
210,BDL-U-42,ZONA BDL,0,0,0,Al Corriente,08/08/2025
211,BDL-U-43,ZONA BDL,0,0,0,Al Corriente,08/08/2025
212,BV-U-2,ZONA BV,0,0,0,Al Corriente,08/08/2025
213,BV-U-4,ZONA BV,0,0,0,Al Corriente,08/08/2025
214,BV-U-8,ZONA BV,0,0,0,Al Corriente,08/08/2025
215,BV-U-12,ZONA BV,0,0,0,Al Corriente,08/08/2025
216,BV-U-15,ZONA BV,0,0,0,Al Corriente,08/08/2025
217,BV-U-17,ZONA BV,0,0,0,Al Corriente,08/08/2025
218,BV-U-19,ZONA BV,0,0,0,Al Corriente,08/08/2025
219,BV-II-II-1,ZONA BV,0,0,0,Al Corriente,08/08/2025
220,BV-II-II-2,ZONA BV,0,0,0,Al Corriente,08/08/2025
221,BV-II-II-4,ZONA BV,0,0,0,Al Corriente,08/08/2025
222,BV-II-II-5,ZONA BV,0,0,0,Al Corriente,08/08/2025
223,BV-II-II-6,ZONA BV,0,0,0,Al Corriente,08/08/2025
224,BV-II-II-7,ZONA BV,0,0,0,Al Corriente,08/08/2025
225,BV-II-II-8,ZONA BV,0,0,0,Al Corriente,08/08/2025
226,BV-II-II-9,ZONA BV,0,0,0,Al Corriente,08/08/2025
227,BV-II-II-11,ZONA BV,0,0,0,Al Corriente,08/08/2025
228,BV-II-II-13,ZONA BV,0,0,0,Al Corriente,08/08/2025
229,BV-II-II-20,ZONA BV,0,0,0,Al Corriente,08/08/2025
230,BV-II-II-21,ZONA BV,0,0,0,Al Corriente,08/08/2025
231,BV-II-II-22,ZONA BV,0,0,0,Al Corriente,08/08/2025
232,BV-II-II-26,ZONA BV,0,0,0,Al Corriente,08/08/2025
233,BV-II-II-27,ZONA BV,0,0,0,Al Corriente,08/08/2025
234,BV-II-II-28,ZONA BV,0,0,0,Al Corriente,08/08/2025
235,BV-II-II-29,ZONA BV,0,0,0,Al Corriente,08/08/2025
236,BV-II-II-30,ZONA BV,0,0,0,Al Corriente,08/08/2025
237,RF-1-3,ZONA RF,0,0,0,Al Corriente,08/08/2025
238,RF--,ZONA RF,0,0,0,Al Corriente,08/08/2025
239,CD-1-3,CEDRO,0,0,0,Al Corriente,08/08/2025
240,CD-1-10,CEDRO,0,0,0,Al Corriente,08/08/2025
241,CD-1-13,CEDRO,0,0,0,Al Corriente,08/08/2025
242,CD-1-14,CEDRO,0,0,0,Al Corriente,08/08/2025
243,CD-1-21,CEDRO,0,0,0,Al Corriente,08/08/2025
244,CD-2-8,CEDRO,0,0,0,Al Corriente,08/08/2025
245,CD-2-8A,CEDRO,0,0,0,Al Corriente,08/08/2025
246,CS-I-1-4,CRUZ DE SABINOS I,0,0,0,Al Corriente,08/08/2025
247,CS-I-1-10,CRUZ DE SABINOS I,0,0,0,Al Corriente,08/08/2025
248,CS-I-2-6,CRUZ DE SABINOS I,0,0,0,Al Corriente,08/08/2025
249,CS-I-2-8,CRUZ DE SABINOS I,0,0,0,Al Corriente,08/08/2025
250,CS-I-4-5,CRUZ DE SABINOS I,0,0,0,Al Corriente,08/08/2025
251,CS-II-1-03A,CRUZ DE SABINOS II,0,0,0,Al Corriente,08/08/2025
252,CS-II-2-3,CRUZ DE SABINOS II,0,0,0,Al Corriente,08/08/2025
253,CS-II-2-6,CRUZ DE SABINOS II,0,0,0,Al Corriente,08/08/2025
254,CS-II-2-9,CRUZ DE SABINOS II,0,0,0,Al Corriente,08/08/2025
255,CS-II-2-11,CRUZ DE SABINOS II,0,0,0,Al Corriente,08/08/2025
256,CS-II-4-11,CRUZ DE SABINOS II,0,0,0,Al Corriente,08/08/2025
257,CS-II-6-4,CRUZ DE SABINOS II,0,0,0,Al Corriente,08/08/2025
258,EN1-2-11,ENCINOS I,0,0,0,Al Corriente,08/08/2025
259,EN1-5-11,ENCINOS I,0,0,0,Al Corriente,08/08/2025
260,EN1-5-17,ENCINOS I,0,0,0,Al Corriente,08/08/2025
261,EN1-6-01B,ENCINOS I,0,0,0,Al Corriente,08/08/2025
262,EN1-6-6,ENCINOS I,0,0,0,Al Corriente,08/08/2025
263,EN1-6-15,ENCINOS I,0,0,0,Al Corriente,08/08/2025
264,EN1-6-19,ENCINOS I,0,0,0,Al Corriente,08/08/2025
265,EN1-7-3,ENCINOS I,0,0,0,Al Corriente,08/08/2025
266,EN1-7-5,ENCINOS I,0,0,0,Al Corriente,08/08/2025
267,EN-II-u-1,ENCINOS II,0,0,0,Al Corriente,08/08/2025
268,EN-II-U-4,ENCINOS II,0,0,0,Al Corriente,08/08/2025
269,EN-II-u-8,ENCINOS II,0,0,0,Al Corriente,08/08/2025
270,EU-U-7,EUCALIPTOS,0,0,0,Al Corriente,08/08/2025
271,EU-U-14,EUCALIPTOS,0,0,0,Al Corriente,08/08/2025
272,JY-7-4,LA JOYA,0,0,0,Al Corriente,08/08/2025
273,JY-7-16,LA JOYA,0,0,0,Al Corriente,08/08/2025
274,JY-07-22,LA JOYA,0,0,0,Al Corriente,08/08/2025
275,JY-8-1,LA JOYA,0,0,0,Al Corriente,08/08/2025
276,JY-8-4,LA JOYA,0,0,0,Al Corriente,08/08/2025
277,JY-8-5,LA JOYA,0,0,0,Al Corriente,08/08/2025
278,JY-8-6,LA JOYA,0,0,0,Al Corriente,08/08/2025
279,JY-8-7,LA JOYA,0,0,0,Al Corriente,08/08/2025
280,JY-8-12,LA JOYA,0,0,0,Al Corriente,08/08/2025
281,JY-9-1,LA JOYA,0,0,0,Al Corriente,08/08/2025
282,JY-9-9,LA JOYA,0,0,0,Al Corriente,08/08/2025
283,JY-10-26,LA JOYA,0,0,0,Al Corriente,08/08/2025
284,JY-10-43,LA JOYA,0,0,0,Al Corriente,08/08/2025
285,JY-10-46,LA JOYA,0,0,0,Al Corriente,08/08/2025
286,JY-11-4,LA JOYA,0,0,0,Al Corriente,08/08/2025
287,JY-11-10,LA JOYA,0,0,0,Al Corriente,08/08/2025
288,JY-11-13,LA JOYA,0,0,0,Al Corriente,08/08/2025
289,JY-11-23,LA JOYA,0,0,0,Al Corriente,08/08/2025
290,JY-12-25,LA JOYA,0,0,0,Al Corriente,08/08/2025
291,JY-14-9,LA JOYA,0,0,0,Al Corriente,08/08/2025
292,JY-17-6,LA JOYA,0,0,0,Al Corriente,08/08/2025
293,JY-18-4,LA JOYA,0,0,0,Al Corriente,08/08/2025
294,JY-19-3,LA JOYA,0,0,0,Al Corriente,08/08/2025
295,JY-19-6,LA JOYA,0,0,0,Al Corriente,08/08/2025
296,JY-19-7,LA JOYA,0,0,0,Al Corriente,08/08/2025
297,JY-19-10,LA JOYA,0,0,0,Al Corriente,08/08/2025
298,JY-19-17BIS,LA JOYA,0,0,0,Al Corriente,08/08/2025
299,JY-20-2,LA JOYA,0,0,0,Al Corriente,08/08/2025
300,JY-21-6,LA JOYA,0,0,0,Al Corriente,08/08/2025
301,JY-22-21,LA JOYA,0,0,0,Al Corriente,08/08/2025
302,JY-22-26,LA JOYA,0,0,0,Al Corriente,08/08/2025
303,JY-23-16,LA JOYA,0,0,0,Al Corriente,08/08/2025
304,JY-23-17,LA JOYA,0,0,0,Al Corriente,08/08/2025
305,JY-23-22,LA JOYA,0,0,0,Al Corriente,08/08/2025
306,JY-27-2,LA JOYA,0,0,0,Al Corriente,08/08/2025
307,JY-27-10,LA JOYA,0,0,0,Al Corriente,08/08/2025
308,JY-27-12,LA JOYA,0,0,0,Al Corriente,08/08/2025
309,JY-27-18,LA JOYA,0,0,0,Al Corriente,08/08/2025
310,JY-27-21,LA JOYA,0,0,0,Al Corriente,08/08/2025
311,JY-27-31,LA JOYA,0,0,0,Al Corriente,08/08/2025
312,JY-27-32,LA JOYA,0,0,0,Al Corriente,08/08/2025
313,JY-27-35,LA JOYA,0,0,0,Al Corriente,08/08/2025
314,JY-27-36,LA JOYA,0,0,0,Al Corriente,08/08/2025
315,JY-27-40,LA JOYA,0,0,0,Al Corriente,08/08/2025
316,JY-27-41,LA JOYA,0,0,0,Al Corriente,08/08/2025
317,JY-27-42,LA JOYA,0,0,0,Al Corriente,08/08/2025
318,JY-27-46,LA JOYA,0,0,0,Al Corriente,08/08/2025
319,SCJ-1-16,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
320,SCJ-3-6,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
321,SCJ-5-1,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
322,SCJ-5-3,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
323,SCJ-5-6d,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
324,SCJ-5-7,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
325,SCJ-6-13,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
326,SCJ-7-14,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
327,SCJ-8-15,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
328,SCJ-9-2,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
329,SCJ-9-7,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
330,SCJ-9-16,STA CRUZ LA JOYA,0,0,0,Al Corriente,08/08/2025
331,CH-1-8,ZONA CH,0,0,0,Al Corriente,08/08/2025
332,CH-1-12,ZONA CH,0,0,0,Al Corriente,08/08/2025
333,CH-1-13,ZONA CH,0,0,0,Al Corriente,08/08/2025
334,CH-1-14,ZONA CH,0,0,0,Al Corriente,08/08/2025
335,CH-04-2,ZONA CH,0,0,0,Al Corriente,08/08/2025
336,RS-1-1,ZONA RS,0,0,0,Al Corriente,08/08/2025
337,RS-1-2,ZONA RS,0,0,0,Al Corriente,08/08/2025
338,RVG-2-4,RINCÓN DE VALLE GRANDE,0,0,0,Al Corriente,08/08/2025
339,RVG-4-8,RINCÓN DE VALLE GRANDE,0,0,0,Al Corriente,08/08/2025
340,RVG-4-9,RINCÓN DE VALLE GRANDE,0,0,0,Al Corriente,08/08/2025
341,RVG-5-8,RINCÓN DE VALLE GRANDE,0,0,0,Al Corriente,08/08/2025
342,VC-1-31-A,ZONA VC,0,0,0,Al Corriente,08/08/2025
343,VC-1-30C-A,ZONA VC,0,0,0,Al Corriente,08/08/2025
344,VC-1-30C-B,ZONA VC,0,0,0,Al Corriente,08/08/2025
345,VC-1-30,ZONA VC,0,0,0,Al Corriente,08/08/2025
346,VC-1-29A,ZONA VC,0,0,0,Al Corriente,08/08/2025
347,LS-1-1,ZONA LS,0,0,0,Al Corriente,08/08/2025
348,LS-1-10,ZONA LS,0,0,0,Al Corriente,08/08/2025
349,LS-1-13,ZONA LS,0,0,0,Al Corriente,08/08/2025
350,LS-1-19,ZONA LS,0,0,0,Al Corriente,08/08/2025
351,LS-1-20,ZONA LS,0,0,0,Al Corriente,08/08/2025
352,LS-1-22,ZONA LS,0,0,0,Al Corriente,08/08/2025
353,LS-1-25,ZONA LS,0,0,0,Al Corriente,08/08/2025
354,LS-2-12,ZONA LS,0,0,0,Al Corriente,08/08/2025
355,LS-2-18,ZONA LS,0,0,0,Al Corriente,08/08/2025
356,LS-3-2,ZONA LS,0,0,0,Al Corriente,08/08/2025
357,LS-3-4,ZONA LS,0,0,0,Al Corriente,08/08/2025
358,LS-3-5,ZONA LS,0,0,0,Al Corriente,08/08/2025
359,LS-3-7,ZONA LS,0,0,0,Al Corriente,08/08/2025
360,LS-3-10,ZONA LS,0,0,0,Al Corriente,08/08/2025
361,LS-4-6,ZONA LS,0,0,0,Al Corriente,08/08/2025
362,LS-4-19,ZONA LS,0,0,0,Al Corriente,08/08/2025
363,LS-4-21,ZONA LS,0,0,0,Al Corriente,08/08/2025
364,LS-4-22,ZONA LS,0,0,0,Al Corriente,08/08/2025
365,LS-4-24,ZONA LS,0,0,0,Al Corriente,08/08/2025
366,LS-5-10,ZONA LS,0,0,0,Al Corriente,08/08/2025
367,LS-5-16,ZONA LS,0,0,0,Al Corriente,08/08/2025
368,LS-5-17,ZONA LS,0,0,0,Al Corriente,08/08/2025
